mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	1	4/4	1	0						firstMeasure	2
2	2	1	4/4	1	0							3
3	3	1	4/4	1	0							4
4	4	1	4/4	1	0					line		5
5	5	1	4/4	1	0							6
6	6	1	4/4	1	0							7
7	7	1	4/4	1	0							8
8	8	1	4/4	1	0					line		9
9	9	1	4/4	1	0							10
10	10	1	4/4	1	0							11
11	11	1	4/4	1	0							12
12	12	1	4/4	1	0					line		13
13	13	1	4/4	1	0							14
14	14	1	4/4	1	0							15
15	15	1	4/4	1	0							16
16	16	1	4/4	1	0					page		17
17	17	1	4/4	1	0							18
18	18	1	4/4	1	0							19
19	19	1	4/4	1	0							20
20	20	1	4/4	1	0					line		21
21	21	1	4/4	1	0							22
22	22	1	4/4	1	0							23
23	23	1	4/4	1	0							24
24	24	1	4/4	1	0					line		25
25	25	1	4/4	1	0							26
26	26	1	4/4	1	0							27
27	27	1	4/4	1	0							28
28	28	1	4/4	1	0					line		29
29	29	1	4/4	1	0							30
30	30	1	4/4	1	0							31
31	31	1	4/4	1	0							32
32	32	1	4/4	1	0					line		33
33	33	1	4/4	1	0							34
34	34	1	4/4	1	0							35
35	35	1	4/4	1	0							36
36	36	1	4/4	1	0					page		37
37	37	1	4/4	1	0							38
38	38	1	4/4	1	0							39
39	39	1	4/4	1	0							40
40	40	1	4/4	1	0					line		41
41	41	1	4/4	1	0							42
42	42	1	4/4	1	0							43
43	43	1	4/4	1	0					line		44
44	44	1	4/4	1	0							45
45	45	1	4/4	1	0							46
46	46	1	4/4	1	0					line		47
47	47	1	4/4	1	0							48
48	48	1	4/4	1	0							49
49	49	1	4/4	1	0					line		50
50	50	1	4/4	1	0							51
51	51	1	4/4	1	0							52
52	52	1	4/4	1	0					page		53
53	53	1	4/4	1	0							54
54	54	1	4/4	1	0							55
55	55	1	4/4	1	0					line		56
56	56	1	4/4	1	0							57
57	57	1	4/4	1	0							58
58	58	1	4/4	1	0					line		59
59	59	1	4/4	1	0							60
60	60	1	4/4	1	0							61
61	61	1	4/4	1	0							62
62	62	1	4/4	1	0					line		63
63	63	1	4/4	1	0							64
64	64	1	4/4	1	0							65
65	65	1	4/4	1	0							66
66	66	1	4/4	1	0					line		67
67	67	1	4/4	1	0							68
68	68	1	4/4	1	0							69
69	69	1	4/4	1	0							70
70	70	1	4/4	1	0					page		71
71	71	1	4/4	1	0							72
72	72	1	4/4	1	0							73
73	73	1	4/4	1	0							74
74	74	1	4/4	1	0					line		75
75	75	1	4/4	1	0							76
76	76	1	4/4	1	0							77
77	77	1	4/4	1	0							78
78	78	1	4/4	1	0					line		79
79	79	1	4/4	1	0							80
80	80	1	4/4	1	0							81
81	81	1	4/4	1	0							82
82	82	1	4/4	1	0					line		83
83	83	1	4/4	1	0							84
84	84	1	4/4	1	0							85
85	85	1	4/4	1	0							86
86	86	1	4/4	1	0					line		87
87	87	1	4/4	1	0							88
88	88	1	4/4	1	0							89
89	89	1	4/4	1	0							90
90	90	1	4/4	1	0				end		lastMeasure	-1
